Nickname,Verified,CommentCount,PlayCount,ShareCount,Duration
ti.kiahyna,False,13200,68800000,21200,60
Jon,False,1346,35700000,4546,21
Mochi,False,11100,31400000,19700,15
Mateus Pain,True,5772,23600000,47200,11
Isai,False,4349,13100000,10900,8
⚡Abhi015⚡,False,1155,17700000,11300,18
What The Hales,False,2186,51700000,3064,60
The Gooch,False,53500,43200000,215600,13
Erik Deloera138,False,18900,14200000,10900,30
hey_pablo11,False,7169,8800000,4557,49
Coin System Player,False,1922,26300000,1536,60
Ladyquinn,False,1395,9600000,2563,78
ti.kiahyna,False,5673,40200000,14200,60
_cikdaisy,False,56700,47300000,200700,49
jk007,False,32100,21400000,33900,8
Damian Kater,False,11300,15000000,11700,9
sash,False,6949,18800000,37300,15
Miki.eterna,False,8869,47100000,71600,15
Junyao Liu,False,4961,19900000,10700,8
Jade Harmon,False,19500,21400000,67000,17
Miki.eterna,False,4592,31400000,19700,8
miki.infinita,False,14200,36100000,36200,11
miki.infinita,False,15900,34700000,66700,17
蒙| •シ︎,False,3031,13800000,1566,24
Kylie Xavi and Mama,False,0,22000000,42200,31
Maple,False,8341,5800000,28900,9
miki.infinita,False,11500,42600000,77200,9
Kawaii_fox_tyan,True,9311,10900000,15700,15
miki.infinita,False,10200,21300000,6047,21
Lindsay,False,12800,8500000,30000,12
Instant Bollywood,True,1369,28100000,4639,14
Matir No Matter !,False,7552,9800000,3231,86
miki.infinita,False,8964,31000000,17400,6
What The Hales,False,7006,82900000,8878,60
The Gooch,False,53500,43200000,215600,13
Thema Williams,False,18000,23300000,49300,6
RESPECT,False,2458,24700000,17300,12
DapperDogs,False,10200,5900000,65900,5
The Gooch,False,2348,10900000,3833,29
DapperDogs,False,7225,3300000,50700,166
Jose Pedro Assler,False,8782,4800000,16200,81
King Gallardo,False,27900,8700000,14700,172
BLASINI,False,4069,5400000,51400,17
humatic,False,6049,8500000,21800,29
fredericklia36,False,2058,4100000,4833,20
_Lili_edits07,False,20400,4600000,49500,58
fitzsimmons,False,1529,2000000,4175,36
fredericklia36,False,2308,10000000,32400,19
ANIME_Naruto,False,734,14100000,2237,43
Pυɾҽ Eɳƚҽɾƚαιɳɱҽɳƚ…,False,3991,2300000,4940,56
benjaminviu,False,3297,2700000,4248,218
Kevin Peña,False,2338,5600000,1471,10
TÔ DE GRAÇA,False,20600,3800000,23200,8
What The Hales,False,7006,82900000,8878,60
Ricardo Cruz Liga,False,9191,13000000,45400,6
Jacqueline Contreras,False,5320,6700000,15100,23
emba,False,10100,10500000,2091,22
King Gallardo,False,27900,8700000,14700,172
humatic,False,6049,8500000,21800,29
fitzsimmons,False,1529,2000000,4175,36
ANIME_Naruto,False,734,14100000,2237,43
benjaminviu,False,3297,2700000,4248,218
Xiao xu,False,555,28000000,1570,14
Damarje,False,2122,5700000,621,59
isi,False,29700,2600000,2449,8
Joyce,False,119100,2900000,5641,12
King Gallardo,False,14700,5000000,6527,195
Carlos Antonio Trebejos,False,2084,6200000,37000,18
Фан шпульки и карнавал❤️‍,False,529,1100000,1345,117
میاں واجد ریاض,False,3894,11000000,10900,14
Joyce,False,106500,3500000,4498,8
pinkzz pinky,False,4593,4500000,3531,12
Antonio Millage,False,10700,3500000,89700,23
Edmund,False,36300,63000000,44900,21
Connor Edwardo Harmano,False,22000,43700000,8889,50
Everything Animals,False,42500,46100000,44300,11
Edward Punales,False,33700,26000000,124300,42
,False,30000,49300000,20500,26
mndiaye_97,True,32200,28500000,224400,71
PANDA BOI,True,6283,59900000,4190,18
Riceman,False,78100,50300000,34500,31
Remitan レミたん,True,15900,21800000,48400,8
Edmund,False,14400,30700000,9430,21
Brian McEvilly,False,21300,19300000,40700,39
⚖️ The TikTok Attorney ⚖️,True,20100,70400000,14000,28
Aaron Vankampen,True,13900,21600000,25600,57
Krysten Mayers,True,15400,21400000,12500,44
⚖️ The TikTok Attorney ⚖️,True,13800,43000000,4527,18
Krysten Mayers,True,18500,21900000,28300,41
Lawyer,True,31300,18400000,160200,14
Christopher Gillette,False,13400,19200000,16300,180
,False,136000,30900000,277400,27
jack neel,False,15200,16400000,24500,70
Jen Le,False,6041,5700000,73400,18
Tori Dunlap — Money Expert,True,2508,4300000,16900,51
HaleyMermaid,False,278,2900000,167,35
HaleyMermaid,False,325,2600000,161,24
Ａｍｂｌａｄｅｒｃｅ,False,0,6100000,1158,19
Black Girls Graduate,False,8056,2000000,22700,14
Katelyn Magnuson-Millennial,False,4617,1800000,8421,59
Vero Beach Mermaid,False,1915,4300000,636,15
Tori Dunlap — Money Expert,True,1724,2300000,10200,11
Tori Dunlap — Money Expert,True,1089,1900000,819,15
any trou,False,3223,1400000,3634,13
